,product,specification,review,discount,price,rating,offers
24,ASUS ROG Flow X13 Ryzen 7 Octa Core 5800HS - (16 GB/1 T...,"13.4 inch, Off Black, 1.30 kg, With MS Office",54,23% off,"1,24,990",4.5,"No Cost EMI from20,832/month"
25,ASUS Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home...,"15.6 inch, Celestial Blue, 2.50 kg",3,23% off,"2,49,990",5,
26,ASUS TUF Dash F15 Core i5 11th Gen - (16 GB/1 TB SSD/Wi...,"15.6 inch, Eclipse Grey, 2. Kg, With MS Office",,18% off,"1,00,990",,
27,ASUS Core i5 5th Gen - (16 GB/512 GB SSD/Windows 10/4 G...,"17.3 inch, Graphite Black",,18% off,"94,990",,
28,ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS - (32 GB/1 T...,"13.4 inch, Off-Black, 1.30 Kg, With MS Office",,23% off,"1,64,990",,"No Cost EMI from27,499/month"
29,ASUS ROG Zephyrus S15 Core i7 10th Gen - (32 GB/1 TB SS...,"15.6 inch, Black Metal, 1.90 kg",,27% off,"2,34,990",,
30,ASUS ROG Zephyrus G14 (2020) Ryzen 9 Octa Core - (16 GB...,"14 inch, Gray W&LED, 1.70 Kg, With MS Office",,33% off,"1,29,990",,
31,ASUS ROG Zephyrus G14 Ryzen 7 Octa Core AMD Ryzen™ 7 58...,"14 inch, White, 1.6 kg, With MS Office",,22% off,"94,990",,
32,ASUS ROG Core i7 7th Gen - (8 GB/1 TB HDD/256 GB SSD/Wi...,"15.6 inch, Black Aluminum, 2.24 kg",2,,"1,46,490",3,
33,ASUS TUF Gaming F15 (2021) Core i7 11th Gen - (8 GB/1 T...,"15.6 Inch, Graphite Black, 2.3 KG",,11% off,"1,13,490",,"No Cost EMI from18,915/month"
34,ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5900HS - (16...,"13.4 Inch, Off Black, 1.3 KG, With MS Office",20,,"1,74,989",4.2,
35,ASUS Strix G15 Ryzen 7 Octa Core AMD Ryzen™ 7 4800H 4th...,"15.6 inch, Black, 2.30 Kg, With MS Office",,16% off,"78,897",,
36,ASUS ROG Flow X13 Ryzen 9 Octa Core 5900HS - (16 GB/1 T...,"13.4 inch, Off-Black, 1.30 Kg, With MS Office",,20% off,"1,39,990",,"No Cost EMI from23,332/month"
37,ASUS Zephyrus M16 (2021) Core i7 11th Gen - (16 GB/1 TB...,"16 inch, Off Black, 1.90 kg, With MS Office",,17% off,"1,82,988",,
38,ASUS ROG Strix Edition Core i7 7th Gen - (16 GB/1 TB HD...,"15.6 inch, Black, 2.6 kg",2,,"1,39,990",5,
39,ASUS ROG Flow X13 (2021) Ryzen 9 Octa Core 5900HS - (16...,"13.4 inch, Black, 1.30 kg, With MS Office",,26% off,"1,43,500",,
